City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,launceston,-41.45,147.1667,17.31,51,60,3.09,AU,1699916327
282,vila franca do campo,37.7167,-25.4333,19.23,99,100,1.57,PT,1699916163
283,horta,38.5333,-28.6333,15.01,91,100,1.34,PT,1699916153
284,murmashi,68.8154,32.8115,-7.77,92,100,1,RU,1699916330
285,kayangel,8.0823,134.7173,29.12,76,99,7.89,PW,1699916004
286,say,13.1007,2.3689,28.31,13,5,4.32,NE,1699916332
287,cururupu,-1.8283,-44.8683,24.88,83,32,2.18,BR,1699916333
288,kristiansund,63.1115,7.732,0.36,69,1,3.09,NO,1699916121
289,kruisfontein,-34.0033,24.7314,13.28,82,81,4.14,ZA,1699916248
290,machico,32.7,-16.7667,22.06,82,75,2.57,PT,1699916335
291,rumoi,43.9344,141.6428,0.83,86,94,3,JP,1699916336
292,samux,40.7647,46.4085,12.56,94,40,2.06,AZ,1699916338
293,punta arenas,-53.15,-70.9167,5.06,60,79,10.29,CL,1699916172
294,qamdo,31.1667,97.2333,-6.42,56,2,1.6,CN,1699916339
295,dihok,36.8695,42.994,17.86,44,13,2.03,IQ,1699916340
296,timimoun,29.2639,0.231,20.21,18,0,2.06,DZ,1699916341
297,parun,35.4207,70.9221,-2.74,40,0,4.84,AF,1699916342
298,northam,51.0333,-4.2167,12.56,91,39,10.96,GB,1699916343
299,sultanah,24.4926,39.5857,26.25,29,20,1.54,SA,1699916344
300,luwuk,-0.9516,122.7875,27.84,74,59,0.7,ID,1699916144
301,misratah,32.3754,15.0925,22.37,68,40,6.91,LY,1699916346
302,rongelap,11.1635,166.8941,28.05,84,100,7.83,MH,1699916341
303,kiselevsk,53.99,86.6621,0.43,98,100,5.02,RU,1699916348
304,tralee,52.2704,-9.7026,11.05,87,78,8.34,IE,1699916160
305,lata,40.1629,-8.3327,16.07,94,43,1.57,PT,1699916349
306,trail,49.0998,-117.7022,9.82,94,100,1.59,CA,1699916114
307,san antonio de pale,-1.4014,5.6325,26.37,82,63,4.04,GQ,1699916203
308,broken hill,-31.95,141.4333,19.14,36,100,6.14,AU,1699916134
309,antonio enes,-16.2325,39.9086,25.21,79,83,3.68,MZ,1699916353
310,karabar,-35.3753,149.2308,21.92,65,97,2.06,AU,1699916354
311,garden city,42.3256,-83.331,14.01,35,0,9.77,US,1699916168
312,salina cruz,16.1667,-95.2,30.12,57,95,10.04,MX,1699916356
313,santiago,-33.4569,-70.6483,21.69,37,0,4.12,CL,1699915708
314,lubang,13.8584,120.124,26.76,84,97,11.69,PH,1699916358
315,fada,9.5667,8.3,21.93,53,76,1.66,NG,1699916360
316,annaba,36.9,7.7667,14.98,94,0,1.54,DZ,1699916253
317,ulladulla,-35.35,150.4667,23.76,65,66,2.45,AU,1699916362
318,scinawa,51.4163,16.4251,7.17,76,100,8.96,PL,1699916363
319,danane,7.2596,-8.155,22.83,76,35,0.64,CI,1699916364
320,virginia,37.5481,-77.4467,11.25,70,40,3.09,US,1699916069
321,tianchang,37.9981,114.0156,2.96,42,1,2.41,CN,1699916365
322,syumsi,57.1111,51.6149,6.12,92,100,5.56,RU,1699916366
323,kapa'a,22.0752,-159.319,29.99,70,75,7.2,US,1699916083
324,ishioka,36.1833,140.2667,9.24,86,20,0.51,JP,1699916368
325,ad dabbah,18.05,30.95,27.84,33,84,5.35,SD,1699916369
326,uruzgan,32.8333,66,8.17,27,0,0.56,AF,1699916370
327,kuta,-8.7233,115.1723,26.97,88,75,1.03,ID,1699916330
328,sferracavallo,42.726,12.0956,15.8,94,100,2.13,IT,1699916372
329,aykhal,66,111.5,-9.52,93,100,5.26,RU,1699916172
330,fruita,39.1589,-108.729,16.64,20,0,2.06,US,1699916374
331,sovetskaya gavan',48.9723,140.2878,-8.83,81,42,4.62,RU,1699916375
332,batalha,-9.6778,-37.1247,25.84,62,49,5.37,BR,1699916376
333,dorchester,33.1002,-80.3831,15.55,85,0,0,US,1699916377
334,ambovombe,-25.1667,46.0833,21.41,79,79,2.54,MG,1699916281
335,santana,-0.0583,-51.1817,31.1,70,40,4.12,BR,1699916379
336,thinadhoo,0.5333,72.9333,27.52,79,97,3.48,MV,1699916162
337,beyneu,45.3167,55.2,8.36,43,34,8.92,KZ,1699916132
338,callao,-12.0667,-77.15,21.16,73,20,2.57,PE,1699916131
339,paraty,-23.2178,-44.7131,27.29,77,80,0.45,BR,1699916382
340,shirgaon,19.7,72.7,24.81,47,59,2.18,IN,1699916383
341,eirunepe,-6.6603,-69.8736,26.95,80,98,0.95,BR,1699916384
342,nambucca heads,-30.65,153,25.09,70,2,2.82,AU,1699916386
343,sale,34.0389,-6.8166,22.02,100,40,0,MA,1699916235
344,maintirano,-18.0667,44.0167,24.95,73,0,2.88,MG,1699916388
345,kailua-kona,19.6406,-155.9956,30.15,66,40,4.12,US,1699916282
346,pitimbu,-7.4706,-34.8086,26.33,77,82,4.04,BR,1699916389
347,tegueste,28.5167,-16.3167,21.48,45,0,2.24,ES,1699916390
348,safotu,-13.4513,-172.4018,28.86,79,83,2.63,WS,1699916391
349,hadibu,12.65,54.0333,26.21,87,98,4.24,YE,1699916392
350,batangafo,7.3008,18.2833,23.01,90,98,0.9,CF,1699916393
351,gaspe,48.8334,-64.4819,0.12,74,100,2.06,CA,1699916393
352,mezhdurechenskiy,59.6,65.9333,0.21,98,100,5.15,RU,1699916263
353,shalqar,47.8333,59.6,5.24,81,100,6.15,KZ,1699916395
354,cocentaina,38.7398,-0.4398,15.94,65,3,2.95,ES,1699916396
355,la rioja,42.25,-2.5,8.88,83,41,3.45,ES,1699916396
356,lorengau,-2.0226,147.2712,27.61,80,76,2.36,PG,1699916161
357,rexburg,43.826,-111.7897,13.57,32,62,0.45,US,1699916397
358,brokopondo,4.75,-55.1667,28.85,56,56,4.71,SR,1699916227
359,kone,-21.0595,164.8658,26.86,41,24,2.46,NC,1699916281
360,guadalupe victoria,32.2869,-115.105,27.99,13,58,2.06,MX,1699916400
361,khorramabad,33.4878,48.3558,8.79,57,0,2.06,IR,1699916402
362,louis trichardt,-23.0439,29.9032,15.61,92,24,5.64,ZA,1699916428
